Year-Month,Year,Month,Block Count,Price per vB - Median (sat/vB),Price per vB - Mean (sat/vB),block_fill_ratio_median,block_fill_ratio_mean,Post-Halving,Block Fill Ratio - Median (%),Block Fill Ratio - Mean (%)
2023-05,2023,5,2337,51.12218166373497,55.11484096063385,0.40294408798217773,0.4112394600787834,No,40.29440879821777,41.123946007878345
2023-06,2023,6,4317,27.215758295737743,32.22335661481627,0.3930537700653076,0.41049967089377537,No,39.30537700653076,41.04996708937754
2023-07,2023,7,4502,11.947489892920832,14.175235538338146,0.39536023139953613,0.40400481647727016,No,39.53602313995361,40.40048164772701
2023-08,2023,8,4532,11.509132298231947,13.600932982567048,0.38712382316589355,0.39440681544006767,No,38.712382316589355,39.440681544006765
2023-09,2023,9,4416,20.335908383421774,22.695180003072288,0.39164674282073975,0.3977463843597882,No,39.164674282073975,39.77463843597882
2023-10,2023,10,4674,12.412446398623258,15.132680394335932,0.383739709854126,0.39757254085940685,No,38.3739709854126,39.75725408594069
2023-11,2023,11,4450,69.17259817416719,87.99105012190086,0.40008533000946045,0.4038892681143257,No,40.008533000946045,40.38892681143257
2023-12,2023,12,4599,147.6950304946464,173.196330558994,0.40117335319519043,0.402146743934915,No,40.11733531951904,40.2146743934915
2024-01,2024,1,4513,54.494353224911514,67.40537546333155,0.4041004180908203,0.4079682761487532,No,40.41004180908203,40.79682761487532
2024-02,2024,2,4307,27.020802285146548,34.41154725248108,0.3986091613769531,0.41281974113593667,No,39.86091613769531,41.28197411359367
2024-03,2024,3,4550,23.4660130442478,27.97195709196626,0.41069352626800537,0.42624671820755844,No,41.06935262680054,42.62467182075584
2024-04,2024,4,4406,47.434671920402444,98.04725315761637,0.3969910144805908,0.41160085192605467,No,39.69910144805908,41.160085192605464
2024-05,2024,5,4411,17.366188591096133,22.80597699830605,0.3763754367828369,0.38346249412393063,Yes,37.63754367828369,38.346249412393064
2024-06,2024,6,4184,24.875184706790396,35.55087628306327,0.3707495927810669,0.3726095004473772,Yes,37.07495927810669,37.26095004473772
2024-07,2024,7,4704,7.317043345398927,8.483729635349851,0.3816211223602295,0.3851868241619902,Yes,38.16211223602295,38.51868241619902
2024-08,2024,8,4428,5.00252434173612,7.7880039194503405,0.3853806257247925,0.3878423067073943,Yes,38.53806257247925,38.784230670739426
2024-09,2024,9,4264,9.564632911304514,12.060897193714837,0.390713095664978,0.3986350692123678,Yes,39.0713095664978,39.86350692123678
2024-10,2024,10,4764,21.709923973073202,38.99505458780358,0.37748563289642334,0.38792381573884455,Yes,37.748563289642334,38.792381573884455
2024-11,2024,11,4375,18.02209239297469,25.38488391461346,0.381819486618042,0.3900135546003069,Yes,38.1819486618042,39.00135546003069
2024-12,2024,12,4555,18.78160288600423,22.62366505332516,0.3762366771697998,0.38027478039068396,Yes,37.62366771697998,38.0274780390684
2025-01,2025,1,4447,9.377774040465344,11.039445326532,0.40213990211486816,0.41707697760691553,Yes,40.213990211486816,41.70769776069155
2025-02,2025,2,4083,8.196608872111305,10.383665911564059,0.4073057174682617,0.41003723533428565,Yes,40.73057174682617,41.00372353342856
2025-03,2025,3,4183,8.033480045621493,10.025609163761446,0.38991260528564453,0.3939228717886943,Yes,38.99126052856445,39.39228717886943
